Reference, Value, Footprint, Datasheet
"R1","4K7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3","22K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R4","100E","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R5","100E","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"Q1","BC549","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"D1","LED_ALT","LED_THT:LED_D3.0mm-3","~"
"Q2","BD140","Package_TO_SOT_THT:TO-126-3_Vertical","http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00001225.pdf"
"D2","LED_ALT","LED_THT:LED_D5.0mm","~"
"D3","LED_ALT","LED_THT:LED_D5.0mm","~"
"C1","220uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"9V1","Battery_Cell","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~"
"Q3","Q_Photo_NPN","Package_TO_SOT_THT:TO-92L_Inline_Wide","~"
"R6","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"C2","100n","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P2.50mm_P5.00mm","~"
"R7","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R9","15k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R8","15k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U1","CA3140","Package_DIP:DIP-8_W7.62mm","http://www.intersil.com/content/dam/intersil/documents/ca31/ca3140-a.pdf"
"RV1","1M","Potentiometer_THT:Potentiometer_Piher_PT-10-V10_Vertical","~"
"C3","100n","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P2.50mm_P5.00mm","~"
"RV2","10k","Potentiometer_THT:Potentiometer_Piher_PT-10-V10_Vertical","~"
"R10","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"C4","220uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"J2","Conn_01x01_Male","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"J1","Conn_01x01_Male","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"J3","Conn_01x01_Male","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"J4","Conn_01x01_Male","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
"J5","Conn_01x01_Male","Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical","~"
